Part	Mid X	Mid Y	Rotation	Side	Type	X Size	Y Size	Value	Footprint
L6	42.4991mm	18.3896mm	270.00	1	1	99	99	75R@100MHz	INDC2012X105N
OSC1	14.478mm	41.5432mm	360.00	1	1	99	99	LTC6908HS6-2#TRPBF	SOT95P280X100-6N
P1	63.7044mm	-12.065mm	90.00	1	1	99	99	5k	TRIM_BOURNS_3223W
R1	74.4728mm	13.9178mm	180.00	1	1	99	99	4k7	RESC3216X65N
R2	65.3034mm	26.2383mm	180.00	1	1	99	99	10k	RESC1608X55N
R3	63.4346mm	34.1227mm	360.00	1	1	99	99	280	RESC1608X55N
R4	60.0764mm	23.6851mm	90.00	1	1	99	99	100	RESC1608X55N
R5	65.3034mm	24.5619mm	180.00	1	1	99	99	10k	RESC1608X55N
R6	54.3106mm	23.6851mm	90.00	1	1	99	99	100	RESC1608X55N
R7	46.8328mm	38.5423mm	180.00	1	1	99	99	10k	RESC1608X55N
R8	49.3601mm	34.6815mm	0.00	1	1	99	99	11k	RESC1005X40N
R9	46.8328mm	40.0917mm	0.00	1	1	99	99	10k	RESC1608X55N
R10	50.9479mm	16.6116mm	90.00	1	1	99	99	1k07	RESC1608X55N
R11	41.6306mm	15.494mm	180.00	1	1	99	99	36	RESC1608X55N
R12	56.1292mm	16.9015mm	270.00	1	1	99	99	536	RESC1608X55N
R13	57.2008mm	14.1329mm	180.00	1	1	99	99	619	RESC1608X55N
R14	58.273mm	16.9015mm	270.00	1	1	99	99	536	RESC1608X55N
R15	28.9306mm	20.3454mm	360.00	1	1	99	99	75	RESC1608X55N
R16	41.6306mm	10.16mm	180.00	1	1	99	99	36	RESC1608X55N
R17	50.9256mm	9.2964mm	270.00	1	1	99	99	1k07	RESC1608X55N
R18	73.2028mm	43.0784mm	90.00	1	1	99	99	10k	RESC1608X55N
R19	30.222mm	36.1696mm	90.00	1	1	99	99	33	RESC1608X55N
R20	3.9418mm	51.2911mm	360.00	1	1	99	99	20k	RESC1608X55N
R21	3.9418mm	49.5554mm	360.00	1	1	99	99	27k4	RESC1608X55N
R22	3.9418mm	47.8197mm	360.00	1	1	99	99	40k2	RESC1608X55N
R23	3.9418mm	46.0841mm	360.00	1	1	99	99	100k	RESC1608X55N
SW3	11.4554mm	48.6377mm	360.00	1	1	99	99	Switch	SW_TYCO_1571983-4
TR1	30.3022mm	12.8524mm	90.00	1	1	99	99	01:01	XFMR_MINI-CIRCUITS_KK81
P8	47.625mm	51.4475mm	360.00	1	1	99	99	Familly	SAMTEC_TSW-123-07-L-D-LL
P9	47.625mm	3.1875mm	360.00	1	1	99	99	Familly	SAMTEC_TSW-123-07-L-D-LL
TP8	27.1272mm	36.4236mm	180.00	1	1	99	99	Test Point	NICOMATIC_C12000B
TP7	30.6324mm	18.2118mm	180.00	1	1	99	99	Test Point	NICOMATIC_C12000B
TP6	41.8592mm	8.1534mm	180.00	1	1	99	99	Test Point	NICOMATIC_C12000B
TP5	39.8272mm	18.5674mm	270.00	1	1	99	99	Test Point	NICOMATIC_C12000B
TP1	71.9328mm	26.2636mm	90.00	1	1	99	99	Test Point	NICOMATIC_C12000B
TP3	52.9892mm	20.1028mm	180.00	1	1	99	99	Test Point	NICOMATIC_C12000B
TP2	61.3156mm	20.0278mm	180.00	1	1	99	99	Test Point	NICOMATIC_C12000B
TP4	56.8198mm	40.3716mm	180.00	1	1	99	99	Test Point	NICOMATIC_C12000B
C55	16.9672mm	-12.1158mm	90.00	1	1	99	99	10uF	CAPMP3528X210N
Jumper1	47.6328mm	28.9306mm	90.00	1	1	99	99	Family	SULLINS_GRPB031VWVN
Jumper2	37.8206mm	45.8978mm	180.00	1	1	99	99	Family	SULLINS_GRPB031VWVN
IC11	71.501mm	-4.8087mm	360.00	1	1	99	99	SN74LVC1G14DBVR	SOT95P280X145-5N
LD1	77.6268mm	-19.05mm	180.00	1	1	99	99	Green	LED_OSRAM_LGL29K
R24	74.401mm	-19.05mm	360.00	1	1	99	99	160	RESC1608X55N
C56	74.8284mm	-4.6563mm	270.00	1	1	99	99	100nF	CAPC1608X87N
TP9	40.64mm	27.3304mm	180.00	1	1	99	99	Test Point	NICOMATIC_C12000B
L7	41.3512mm	31.7246mm	180.00	1	1	99	99	75R@100MHz	INDC2012X105N
L8	36.0172mm	29.616mm	270.00	1	1	99	99	75R@100MHz	INDC2012X105N
TP10	58.928mm	-17.0688mm	90.00	1	1	99	99	Test Point	NICOMATIC_C12000B
