Field=#~Integer~#~50|Field=Description~String~Description~385|Field=Designator~String~Designator~526|Field=Quantity~Integer~Quantity~140|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Manufacturer1 Part Number~String~Manufacturer1 Part Number~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~echOpen_ADC_Card.PrjPcb|ReportField=ProjectFullPath~G:\Projects\Upwork\echOpen\Altium\echOpen_ADC_Card\echOpen_ADC_Card.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [echOpen_ADC_Card.PcbDoc]|ReportField=TotalQuantity~123|ReportField=ReportTime~11:40:20 PM|ReportField=ReportDate~1/10/2016|ReportField=ReportDateTime~1/10/2016 11:40:20 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=GlobalProjectContactEmail~murgen@echopen.org|ReportField=GlobalProjectDesigner~S. Jafar|ReportField=GlobalProjectLink~www.echOpen.com|ReportField=GlobalProjectName~MURGEN|ReportField=GlobalProjectRevision~1.0|ReportField=DataSourceFileName~echOpen_ADC_Card.PcbDoc|ReportField=DataSourceFullPath~G:\Projects\Upwork\echOpen\Altium\echOpen_ADC_Card\PCB\echOpen_ADC_Card.PcbDoc
27|Single Schmitt-Trigger Inverter|IC11|1|TEXAS INSTRUMENTS|SN74LVC1G14DBVR||
28||J1|1|AMPHENOL|132357-11||
29|Connector 3 Male|J2|1|PHOENIX CONTACT|1803439 (MCV 1,5/3-G-3,81)||
30|Connector 3 Male|Jumper1, Jumper2|2|SULLINS|GRPB031VWVN||
31|Inductor|L1, L2, L3, L4, L5, L6, L7, L8|8|MURATA|BLM21BB750SN1D||75R@100MHz
32|LED Green 1C 2A|LD1|1|OSRAM|LG L29K-G2J1-24-Z||
33|Trimming Potentiometer|P1|1|BOURNS|3223W-1-502E||5k
34|Connector 46 Male|P8, P9|2|SAMTEC|TSW-123-07-L-D-LL||
35|Resistor - 1%|R1|1|GENERIC|R1206_4K7_1%_0.25W_100PPM|NRC12F4701TRF|4k7
36|Resistor - 1%|R2, R5, R7, R9, R18|5|GENERIC|R0603_10K_1%_0.1W_100PPM|NRC06F1002TRF|10k
37|Resistor - 0.1%|R3|1|GENERIC|R0603_280R_0.1%_0.063W_10PPM|RN73C1J280RBTDF|280
38|Resistor - 1%|R4, R6|2|GENERIC|R0603_100R_1%_0.1W_100PPM|NRC06F4700TRF|100
39|Resistor - 1%|R8|1|GENERIC|R0402_11K_1%_0.0625W_100PPM|232270671103L|11k
40|Resistor - 0.1%|R10, R17|2|GENERIC|R0603_1K07_0.1%_0.063W_10PPM|RN73C1J1K07BTDF|1k07
41|Resistor - 1%|R11, R16|2|GENERIC|R0603_36R_1%_0.1W_100PPM|NRC06F36R0TRF|36
42|Resistor - 0.1%|R12, R14|2|GENERIC|R0603_536R_0.1%_0.063W_10PPM|RN73C1J536RBTDF|536
43|Resistor - 0.1%|R13|1|GENERIC|R0603_619R_0.1%_0.063W_10PPM|RN73C1J619RBTDF|619
44|Resistor - 1%|R15|1|GENERIC|R0603_75R_1%_0.1W_100PPM|NRC06F75R0TRF|75
45|Resistor - 1%|R19|1|GENERIC|R0603_33R_1%_0.1W_100PPM|NRC06F33R0TRF|33
46|Resistor - 0.1%|R20|1|GENERIC|R0603_20K_0.1%_0.063W_10PPM|RN73C1J20KBTDF|20k
47|Resistor - 0.1%|R21|1|GENERIC|R0603_27K4_0.1%_0.063W_10PPM|RN73C1J27K4BTDF|27k4
48|Resistor - 0.1%|R22|1|GENERIC|R0603_40K2_0.1%_0.063W_10PPM|RN73C1J40K2BTDF|40k2
49|Resistor - 0.1%|R23|1|GENERIC|R0603_100K_0.1%_0.063W_10PPM|RN73C1J100KBTDF|100k
50|Resistor - 1%|R24|1|GENERIC|R0603_160R_1%_0.1W_100PPM|NRC06F1600TRF|160
51|4 Ways SPST DIP Switch|SW3|1|TYCO|1571983-4 or GDH04S04||
52|Test Point|TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10|10|NICOMATIC|C12000B||
53|50 Ohm 0.015 To 300MHz RF Transformers|TR1|1|MINI-CIRCUITS|T1-6T-KK81||1:1
